MONTH,DAY_OF_MONTH,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,DEST_CITY_NAME,DEP_DELAY,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,26,1877,"Tampa, FL","Newark, NJ",-13,,,,,,
1,26,1869,"Newark, NJ","Orlando, FL",10,,,,,,
1,26,1868,"Boston, MA","Newark, NJ",0,,,,,,
1,26,1861,"West Palm Beach/Palm Beach, FL","Newark, NJ",-12,,,,,,
1,26,1857,"Newark, NJ","Fort Myers, FL",-7,,,,,,
1,26,1855,"Orlando, FL","Newark, NJ",-2,,,,,,
1,26,1849,"Newark, NJ","Atlanta, GA",-10,,,,,,
1,26,1849,"Raleigh/Durham, NC","Newark, NJ",-19,,,,,,
1,26,1846,"New Orleans, LA","Newark, NJ",-4,,,,,,
1,26,1837,"Newark, NJ","Austin, TX",5,,,,,,
1,26,1834,"Fort Myers, FL","Newark, NJ",-7,,,,,,
1,26,1831,"Newark, NJ","Miami, FL",-6,,,,,,
1,26,1827,"Newark, NJ","San Diego, CA",47,,32,0,0,0,0
1,26,1818,"Newark, NJ","Chicago, IL",-7,,,,,,
1,26,1816,"Chicago, IL","Newark, NJ",10,,,,,,
1,26,1813,"Denver, CO","Newark, NJ",156,,0,0,141,0,0
1,26,1810,"Newark, NJ","Houston, TX",257,,223,0,0,0,0
1,26,1802,"Newark, NJ","Cleveland, OH",-7,,,,,,
1,26,1799,"San Francisco, CA","Newark, NJ",-5,,,,,,
1,26,1797,"Newark, NJ","Tampa, FL",-4,,,,,,
1,26,1790,"Newark, NJ","Fort Lauderdale, FL",13,,,,,,
1,26,1784,"Newark, NJ","Orlando, FL",-10,,,,,,
1,26,1783,"Newark, NJ","Tampa, FL",-7,,,,,,
1,26,1773,"Newark, NJ","Portland, ME",-5,,,,,,
1,26,1770,"Newark, NJ","Myrtle Beach, SC",-8,,,,,,
1,26,1764,"Newark, NJ","West Palm Beach/Palm Beach, FL",-6,,,,,,
1,26,1760,"Portland, OR","Newark, NJ",-11,,,,,,
1,26,1740,"Newark, NJ","Denver, CO",-3,,,,,,
1,26,1712,"Newark, NJ","Santa Ana, CA",44,,41,0,0,0,0
1,26,1711,"Las Vegas, NV","Newark, NJ",2,,,,,,
