DAY_OF_MONTH,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_DELAY,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,N6_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,14,2124,EWR,CLE,-3,0,,,,,
1,14,2120,EWR,FLL,15,0,,,,,
1,14,2117,LAX,EWR,9,0,,,,,
1,14,2080,EWR,SFO,-6,0,,,,,
1,14,2077,BOS,EWR,-4,0,,,,,
1,14,2074,SRQ,EWR,-5,0,,,,,
1,14,2062,EWR,BOS,6,0,,,,,
1,14,2060,EWR,SAT,-4,0,,,,,
1,14,2047,BOS,EWR,-9,0,,,,,
1,14,2045,EWR,BOS,69,0,2,0,0,0,58
1,14,2044,SFO,EWR,108,0,99,0,0,0,0
1,14,2041,EWR,DEN,-4,0,0,0,18,0,0
1,14,2036,EWR,PBI,-1,0,,,,,
1,14,2035,LAX,EWR,4,0,,,,,
1,14,2032,MCO,EWR,-4,0,,,,,
1,14,2029,EWR,PBI,73,0,8,0,0,0,53
1,14,2029,MCO,EWR,-6,0,,,,,
1,14,2007,MSY,EWR,-5,0,,,,,
1,14,1997,ORD,EWR,-1,0,,,,,
1,14,1995,ORD,EWR,-1,0,,,,,
1,14,1993,MIA,EWR,-5,0,,,,,
1,14,1991,EWR,SFO,-1,0,,,,,
1,14,1989,MIA,EWR,-6,0,,,,,
1,14,1983,RSW,EWR,24,0,,,,,
1,14,1980,MCO,EWR,-9,0,,,,,
1,14,1978,EWR,SFO,-13,0,,,,,
1,14,1978,FLL,EWR,-5,0,,,,,
1,14,1976,PHX,EWR,3,0,,,,,
1,14,1974,MIA,EWR,-2,0,,,,,
1,14,1972,IAD,EWR,-3,0,,,,,
1,14,1960,EWR,LAX,-7,0,,,,,
1,14,1960,LAX,EWR,-6,0,,,,,
1,14,1959,MIA,EWR,-4,0,,,,,
1,14,1935,PBI,EWR,49,0,8,0,0,0,21
1,14,1932,EWR,SEA,20,0,,,,,
1,14,1929,EWR,PHX,-4,0,,,,,
1,14,1929,SEA,EWR,36,0,36,0,8,0,0
1,14,1923,EWR,MIA,-4,0,,,,,
1,14,1923,SNA,EWR,-5,0,,,,,
1,14,1906,EWR,SNA,-4,0,,,,,
1,14,1898,PBI,EWR,-3,0,,,,,
1,14,1890,EWR,TPA,-1,0,,,,,
1,14,1885,EWR,SFO,-3,0,,,,,
1,14,1882,LAX,EWR,-1,0,,,,,
1,14,1878,EWR,SFO,-4,0,,,,,
1,14,1877,EWR,SNA,-6,0,,,,,
1,14,1877,TPA,EWR,-6,0,,,,,
1,14,1871,EWR,LAX,-4,0,,,,,
1,14,1867,IAH,EWR,37,0,37,0,38,0,0
1,14,1859,SEA,EWR,-1,0,,,,,
1,14,1857,EWR,RSW,-2,0,,,,,
1,14,1849,EWR,ATL,9,0,,,,,
1,14,1845,MCO,EWR,-4,0,,,,,
1,14,1841,EWR,PBI,21,0,,,,,
1,14,1827,SAN,EWR,-8,0,,,,,
1,14,1826,MCI,EWR,-2,0,,,,,
1,14,1825,SJU,EWR,-1,0,,,,,
1,14,1818,EWR,ORD,-6,0,,,,,
1,14,1816,ORD,EWR,49,0,0,16,0,0,8
1,14,1814,TPA,EWR,0,0,,,,,
1,14,1810,EWR,IAH,4,0,,,,,
1,14,1809,MSY,EWR,-4,0,,,,,
1,14,1803,SJU,EWR,-5,0,,,,,
1,14,1797,EWR,TPA,-1,0,,,,,
1,14,1796,SFO,EWR,26,0,,,,,
1,14,1790,EWR,FLL,1,0,,,,,
1,14,1783,EWR,TPA,-2,0,,,,,
1,14,1775,PBI,EWR,-8,0,,,,,
1,14,1753,EWR,L6,147,0,147,0,23,0,0
1,14,1738,RDU,EWR,100,0,0,0,94,0,0
1,14,1720,EWR,PSP,64,0,0,0,49,0,0
1,14,1708,FLL,EWR,22,0,,,,,
1,14,1705,EWR,PBI,-5,0,,,,,
1,14,1695,SEA,EWR,0,0,,,,,
1,14,1676,SFO,EWR,20,0,,,,,
1,14,1666,EWR,BOS,-4,0,,,,,
1,14,1666,IAH,EWR,26,0,,,,,
1,14,1658,SNA,EWR,0,0,,,,,
1,14,1649,EWR,RSW,-11,0,,,,,
1,14,1640,EWR,TPA,-5,0,,,,,
1,14,1629,EWR,PHX,12,0,12,0,29,0,0
1,14,1626,ORD,EWR,4,0,,,,,
1,14,1616,EWR,JAX,-4,0,,,,,
1,14,1611,EWR,ORD,-3,0,,,,,
1,14,1610,EWR,MSY,9,0,,,,,
1,14,1601,MCO,EWR,17,0,0,0,27,0,0
1,14,1600,EWR,LAX,0,0,,,,,
1,14,1600,PHX,EWR,0,0,,,,,
1,14,1593,EWR,SAN,2,0,,,,,
1,14,1586,PBI,EWR,62,0,58,0,0,0,0
1,14,1584,EWR,SFO,-2,0,,,,,
1,14,1583,L6,EWR,3,0,,,,,
1,14,1582,TPA,EWR,120,0,0,0,101,0,0
1,14,1552,EWR,PBI,6,0,,,,,
1,14,1551,EWR,PDX,-3,0,,,,,
1,14,1548,EWR,MCO,7,0,,,,,
1,14,1543,EWR,SJU,9,0,,,,,
1,14,1538,EWR,PBI,59,0,27,0,0,0,31
1,14,1537,EWR,MIA,43,0,14,0,0,0,29
1,14,1537,L6,EWR,163,0,10,0,0,0,133
1,14,1534,EWR,IAH,0,0,,,,,
1,14,1527,EWR,MCO,-11,0,,,,,
1,14,1527,MIA,EWR,-1,0,,,,,
1,14,1526,EWR,SFO,74,0,11,0,0,0,52
1,14,1523,EWR,SJU,13,0,,,,,
1,14,1522,PBI,EWR,11,0,,,,,
1,14,1519,EWR,STT,-2,0,,,,,
1,14,1490,EWR,ATL,-10,0,,,,,
1,14,1489,EWR,PBI,-8,0,,,,,
1,14,1483,EWR,SFO,119,0,113,0,0,0,0
1,14,1482,STT,EWR,-8,0,,,,,
1,14,1480,ORF,EWR,-8,0,,,,,
1,14,1460,EWR,LAX,-3,0,0,0,46,0,0
1,14,1458,EWR,JAC,-4,0,,,,,
1,14,1449,BUF,EWR,1,0,,,,,
1,14,1439,EWR,ATL,-3,0,,,,,
1,14,1415,EWR,MIA,-7,0,,,,,
1,14,1270,EWR,MTJ,-3,0,0,0,33,0,0
1,14,1262,EWR,DEN,14,0,2,0,20,0,12
1,14,1256,EWR,ORD,29,0,12,0,24,0,17
1,14,1244,EWR,LAX,-8,0,,,,,
1,14,1242,IAH,EWR,15,0,,,,,
1,14,1202,BOS,EWR,-7,0,,,,,
1,14,1199,BOS,EWR,-4,0,,,,,
1,14,1180,EWR,ORD,-10,0,,,,,
1,14,1178,MCO,EWR,-3,0,,,,,
1,14,1177,LAX,EWR,-8,0,,,,,
1,14,1173,SJU,EWR,-1,0,,,,,
1,14,1163,SLC,EWR,1,0,,,,,
1,14,1162,BQN,EWR,-8,0,,,,,
1,14,1156,EGE,EWR,15,0,,,,,
1,14,1149,EWR,MCO,-3,0,,,,,
1,14,1148,EWR,LAX,-1,0,,,,,
1,14,1143,EWR,SLC,24,0,,,,,
1,14,1129,RSW,EWR,-6,0,0,0,17,0,0
1,14,1125,IAH,EWR,0,0,,,,,
1,14,1109,EWR,MIA,-6,0,,,,,
1,14,1102,EWR,SJU,-3,0,,,,,
1,14,1102,MKE,EWR,10,0,,,,,
1,14,1094,PSP,EWR,30,0,,,,,
1,14,1086,FLL,EWR,12,0,,,,,
1,14,1084,EWR,TPA,11,0,,,,,
1,14,1078,EWR,IAH,-5,0,,,,,
1,14,1076,RSW,EWR,1,0,,,,,
1,14,1075,EWR,SNA,33,0,33,0,1,0,0
1,14,1071,EWR,BQN,1,0,,,,,
1,14,1057,PBI,EWR,22,0,0,0,26,0,0
1,14,1056,EWR,EGE,8,0,,,,,
1,14,1054,LAX,EWR,0,0,,,,,
1,14,1027,SMF,EWR,11,0,,,,,
1,14,1003,PHX,EWR,49,0,0,0,9,0,8
1,14,1001,EWR,MIA,24,0,8,0,0,0,9
1,14,994,EWR,CLE,-3,0,,,,,
1,14,991,EWR,MCO,-8,0,,,,,
1,14,977,EWR,ORD,-2,0,,,,,
1,14,971,EWR,SEA,-5,0,,,,,
1,14,970,PHX,EWR,11,0,,,,,
1,14,904,IAD,EWR,-1,0,,,,,
1,14,897,BNA,EWR,3,0,,,,,
1,14,856,EWR,IAD,14,0,,,,,
1,14,832,EWR,FLL,-13,0,,,,,
1,14,817,AUS,EWR,-5,0,,,,,
1,14,800,EWR,SFO,0,0,,,,,
1,14,792,ATL,EWR,6,0,,,,,
1,14,786,SNA,EWR,-2,0,,,,,
1,14,780,MSY,EWR,31,0,0,0,33,0,0
1,14,755,EWR,ORD,-5,0,,,,,
1,14,754,EWR,TPA,39,0,35,0,0,0,0
1,14,753,SFO,EWR,24,0,,,,,
1,14,751,EWR,LAX,-8,0,,,,,
1,14,751,SAN,EWR,-8,0,,,,,
1,14,749,DEN,EWR,49,0,,,,,
1,14,748,EWR,SFO,-2,0,,,,,
1,14,748,IAH,EWR,16,0,,,,,
1,14,743,EWR,ORD,-8,0,,,,,
1,14,730,EWR,MCO,-6,0,,,,,
1,14,726,SFO,EWR,-2,0,,,,,
1,14,722,MIA,EWR,-7,0,,,,,
1,14,715,SAT,EWR,17,0,,,,,
1,14,711,EWR,FLL,3,0,,,,,
1,14,704,IAH,EWR,-5,0,,,,,
1,14,703,EWR,LAX,-3,0,,,,,
1,14,700,BOS,EWR,-6,0,,,,,
1,14,699,EWR,SAN,-4,0,,,,,
1,14,687,EWR,IAH,-7,0,,,,,
1,14,678,EWR,RSW,-9,0,,,,,
1,14,674,ATL,EWR,-4,0,,,,,
1,14,673,EWR,MSY,-4,0,,,,,
1,14,665,EWR,L6,27,0,0,0,5,0,27
1,14,665,IAH,EWR,14,0,,,,,
1,14,663,EWR,IAH,46,0,3,0,7,0,43
1,14,662,EWR,MIA,-3,0,,,,,
1,14,646,EWR,LAX,-2,0,,,,,
1,14,642,LAX,EWR,30,0,17,0,0,0,0
1,14,637,EWR,SFO,-3,0,,,,,
1,14,627,DEN,EWR,27,0,,,,,
1,14,625,EWR,MCO,-8,0,,,,,
1,14,623,EWR,MCI,-6,0,,,,,
1,14,614,EWR,L6,18,0,6,0,0,0,9
1,14,613,ORD,EWR,0,0,,,,,
1,14,609,ORD,EWR,2,0,,,,,
1,14,602,EWR,SLC,-5,0,,,,,
1,14,601,TPA,EWR,37,0,0,0,16,0,27
1,14,600,EWR,LAX,0,0,,,,,
1,14,600,PBI,EWR,51,0,40,0,0,0,0
1,14,598,EWR,IAH,-3,0,,,,,
1,14,596,IAD,EWR,7,0,,,,,
1,14,593,MTJ,EWR,42,0,,,,,
1,14,586,EWR,AUS,4,0,,,,,
1,14,581,EWR,DFW,0,0,,,,,
1,14,577,SFO,EWR,3,0,,,,,
1,14,576,DEN,EWR,26,0,,,,,
1,14,572,MCO,EWR,-1,0,,,,,
1,14,558,MCO,EWR,47,0,0,0,24,0,0
1,14,557,IAH,EWR,-2,0,,,,,
1,14,548,L6,EWR,71,0,50,0,0,0,0
1,14,535,SFO,EWR,48,0,38,0,0,0,0
1,14,523,EWR,ROC,-10,0,,,,,
1,14,513,DEN,EWR,70,0,0,0,40,0,0
1,14,510,LAX,EWR,-7,0,,,,,
1,14,508,EWR,IAH,-6,0,,,,,
1,14,506,EWR,SRQ,-7,0,,,,,
1,14,497,EWR,SFO,65,0,30,0,0,0,4
1,14,496,ATL,EWR,7,0,,,,,
1,14,485,EWR,DEN,-2,0,,,,,
1,14,456,DEN,EWR,46,0,,,,,
1,14,443,IAH,EWR,20,0,,,,,
1,14,434,EWR,MCO,-3,0,,,,,
1,14,426,EWR,ORD,0,0,,,,,
1,14,425,EWR,RDU,72,0,0,0,0,0,69
1,14,421,EWR,BOS,-4,0,,,,,
1,14,415,LAX,EWR,10,0,,,,,
1,14,410,ATL,EWR,-6,0,,,,,
1,14,391,SFO,EWR,35,0,0,0,21,0,0
1,14,380,EWR,MCO,-5,0,,,,,
1,14,366,EWR,MCO,11,0,,,,,
1,14,363,EWR,HNL,-5,0,,,,,
1,14,362,HNL,EWR,-12,0,,,,,
1,14,356,EWR,SAV,-3,0,,,,,
1,14,355,EWR,IAH,-6,0,,,,,
1,14,353,MIA,EWR,50,0,0,0,54,0,0
1,14,349,SFO,EWR,-1,0,,,,,
1,14,343,EWR,PBI,-2,0,,,,,
1,14,341,EWR,IAH,111,0,111,0,8,0,0
1,14,337,BNA,EWR,-6,0,,,,,
1,14,331,DEN,EWR,17,0,,,,,
1,14,327,BZN,EWR,-10,0,0,0,20,0,0
1,14,320,BOS,EWR,29,0,0,0,32,0,0
1,14,318,EWR,FLL,-4,0,,,,,
1,14,314,DEN,EWR,14,0,,,,,
1,14,282,EWR,DEN,-1,0,,,,,
1,14,279,MCO,EWR,7,0,,,,,
1,14,275,EWR,LAX,0,0,,,,,
1,14,271,EWR,BNA,51,0,0,0,6,0,51
1,14,259,TPA,EWR,73,0,73,0,15,0,0
1,14,247,LAX,EWR,13,0,,,,,
1,14,239,EWR,BNA,-7,0,,,,,
1,14,230,EWR,PHX,28,0,28,0,20,0,0
1,14,230,ORD,EWR,24,0,,,,,
1,14,213,SFO,EWR,-2,0,,,,,
1,9,1616,EWR,CLT,-9,0,,,,,
1,9,2371,EWR,PHX,-1,0,,,,,
1,9,1891,CLT,EWR,1,0,,,,,
1,9,1891,EWR,CLT,-5,0,,,,,
1,9,2071,CLT,EWR,4,0,,,,,
1,9,2625,EWR,CLT,-7,0,,,,,
1,9,2625,ORD,EWR,-3,0,,,,,
1,9,2728,EWR,DFW,-4,0,,,,,
1,9,2736,DFW,EWR,2,0,,,,,
1,9,2814,DFW,EWR,19,0,,,,,
1,9,1489,CLT,EWR,83,0,0,0,56,0,0
1,9,1489,EWR,CLT,50,0,2,0,15,0,48
1,9,1506,MIA,EWR,49,0,0,0,28,0,0
1,9,1575,EWR,CLT,-4,0,,,,,
1,9,1580,EWR,MIA,57,0,0,0,8,0,57
1,9,1580,PHX,EWR,96,0,0,0,65,0,0
1,9,1588,PHX,EWR,35,0,,,,,
1,9,1035,EWR,DFW,-4,0,,,,,
1,9,1049,EWR,ORD,-9,0,,,,,
1,9,1060,EWR,MIA,3,0,,,,,
1,9,1060,MIA,EWR,14,0,,,,,
1,9,1150,EWR,DFW,-7,0,0,0,19,0,0
1,9,1173,CLT,EWR,42,0,0,0,21,0,0
1,9,1196,EWR,MIA,2,0,,,,,
1,9,1200,PHX,EWR,34,0,,,,,
1,9,1216,EWR,PHX,-7,0,0,0,20,0,0
1,9,1247,ORD,EWR,27,0,,,,,
1,9,2086,CLT,EWR,-2,0,,,,,
1,2,3506,EWR,ORD,14,0,0,0,8,0,14
1,2,3590,ORD,EWR,59,0,0,0,45,0,0
1,8,1646,AUS,EWR,-1,0,,,,,
1,8,2261,AUS,EWR,11,0,,,,,
1,8,336,DEN,EWR,38,0,,,,,
1,8,1882,DEN,EWR,47,0,0,0,16,0,7
1,8,1443,EWR,AUS,-8,0,,,,,
1,8,2024,EWR,AUS,12,0,0,0,9,12,0
1,8,245,EWR,DEN,45,0,0,0,18,0,45
1,8,1266,EWR,DEN,-2,0,,,,,
1,8,1118,EWR,FLL,17,0,17,0,30,0,0
1,8,1267,EWR,FLL,-6,0,,,,,
1,8,1646,EWR,IND,-6,0,,,,,
1,8,2076,EWR,IND,22,0,0,0,0,0,19
1,8,411,EWR,MCO,4,0,,,,,
1,8,1273,EWR,MDW,-5,0,,,,,
1,8,1277,EWR,MDW,52,0,1,0,6,0,51
1,8,1282,EWR,MDW,84,0,6,0,16,0,78
1,8,1539,EWR,MDW,44,0,0,0,7,0,44
1,8,1851,EWR,MDW,3,0,,,,,
1,8,2128,EWR,MDW,10,0,6,0,31,0,4
1,8,1783,EWR,OAK,-1,0,,,,,
1,8,1195,EWR,PHX,16,0,0,0,7,0,16
1,8,2107,EWR,SAN,113,0,1,0,20,0,112
1,8,156,EWR,STL,43,0,16,0,0,0,26
1,8,1634,EWR,STL,-4,0,,,,,
1,8,864,FLL,EWR,22,0,,,,,
1,8,1236,FLL,EWR,7,0,,,,,
1,8,2074,IND,EWR,37,0,0,0,0,0,31
1,8,2107,IND,EWR,131,0,112,0,0,0,0
1,8,409,MCO,EWR,23,0,,,,,
1,8,278,MDW,EWR,31,0,16,0,0,0,1
1,8,1274,MDW,EWR,28,0,,,,,
1,8,1276,MDW,EWR,61,0,17,0,0,0,34
1,8,1279,MDW,EWR,14,0,,,,,
1,8,1281,MDW,EWR,81,0,0,0,78,0,0
1,8,1538,MDW,EWR,47,0,9,0,0,0,36
1,8,241,OAK,EWR,46,0,0,0,49,0,0
1,8,1835,PHX,EWR,8,0,,,,,
1,8,156,SAN,EWR,45,0,0,0,26,0,1
1,8,1063,STL,EWR,17,0,,,,,
1,8,1783,STL,EWR,10,0,,,,,
1,11,6,FLL,EWR,40,0,0,0,28,0,0
1,11,27,EWR,MCO,-11,0,,,,,
1,11,28,MCO,EWR,29,0,28,0,5,0,1
1,11,127,EWR,MCO,61,0,12,0,13,0,49
1,11,128,MCO,EWR,60,0,0,0,3,0,47
1,11,205,EWR,FLL,8,0,,,,,
1,11,227,EWR,MCO,23,0,13,0,10,0,10
1,11,244,PBI,EWR,-8,0,,,,,
1,11,305,EWR,FLL,35,0,28,0,9,0,7
1,11,306,FLL,EWR,12,0,12,0,4,0,0
1,11,428,MCO,EWR,31,0,5,0,0,0,15
1,11,543,EWR,PBI,-6,0,,,,,
1,11,573,EWR,TPA,66,0,66,0,0,0,0
1,11,574,TPA,EWR,78,0,12,0,5,0,66
1,11,612,RSW,EWR,-2,0,,,,,
1,11,643,EWR,PBI,21,0,,,,,
1,11,644,PBI,EWR,-4,0,,,,,
1,11,705,EWR,FLL,29,0,24,0,20,0,5
1,11,706,FLL,EWR,106,0,22,0,0,0,66
1,11,811,EWR,RSW,2,0,,,,,
1,11,812,RSW,EWR,29,0,,,,,
1,11,828,MCO,EWR,37,0,0,0,3,0,12
1,11,905,EWR,FLL,-9,0,,,,,
1,11,927,EWR,MCO,-4,0,,,,,
1,11,928,MCO,EWR,-1,0,0,0,15,0,0
1,11,1043,EWR,PBI,-7,0,,,,,
1,11,1044,PBI,EWR,15,0,,,,,
1,11,1143,EWR,PBI,-12,0,,,,,
1,11,1280,EWR,BOS,-8,0,,,,,
1,11,1289,EWR,SJU,-7,0,,,,,
1,11,1290,SJU,EWR,31,0,,,,,
1,11,1389,EWR,SJU,20,0,,,,,
1,11,1443,EWR,PBI,26,0,6,0,0,0,10
1,11,1505,EWR,FLL,0,0,,,,,
1,11,1511,EWR,RSW,21,0,,,,,
1,11,1512,RSW,EWR,17,0,,,,,
1,11,1527,EWR,MCO,49,0,17,0,13,0,32
1,11,1606,FLL,EWR,17,0,,,,,
1,11,1679,BOS,EWR,54,0,6,0,0,0,38
1,11,1827,EWR,MCO,29,0,13,0,6,0,16
1,11,1944,PBI,EWR,44,0,19,0,0,0,0
1,11,1973,EWR,TPA,21,0,15,0,12,0,6
1,11,1990,SJU,EWR,35,0,0,0,0,0,29
1,11,2006,FLL,EWR,12,0,,,,,
1,11,2028,MCO,EWR,7,0,,,,,
1,11,2044,PBI,EWR,42,0,11,0,0,0,20
1,11,2074,TPA,EWR,66,0,35,0,0,0,12
1,11,2227,EWR,MCO,29,0,,,,,
1,11,2279,BOS,EWR,-10,0,,,,,
1,11,2280,EWR,BOS,-10,0,,,,,
1,11,2579,BOS,EWR,18,0,,,,,
1,11,2580,EWR,BOS,7,0,,,,,
1,11,2828,MCO,EWR,0,0,,,,,
1,11,2905,EWR,RSW,35,0,31,0,0,0,0
1,11,2979,BOS,EWR,0,0,,,,,
1,11,2980,EWR,BOS,8,0,,,,,
1,10,521,EWR,FLL,16,0,,,,,
1,10,524,FLL,EWR,-9,0,,,,,
1,10,525,EWR,FLL,0,0,,,,,
1,10,528,FLL,EWR,-3,0,,,,,
1,10,473,EWR,MSY,2,0,,,,,
1,6,8,SEA,EWR,0,0,,,,,
1,6,11,EWR,SEA,-6,0,,,,,
1,6,14,SEA,EWR,-7,0,,,,,
1,6,31,EWR,SEA,-6,0,,,,,
1,6,53,EWR,PDX,5,0,,,,,
1,6,54,PDX,EWR,14,0,0,14,8,0,0
1,6,77,EWR,LAX,39,0,0,0,0,0,24
1,6,162,LAX,EWR,54,0,0,0,56,0,0
1,6,772,SAN,EWR,-8,0,,,,,
1,6,773,EWR,SAN,51,0,0,0,0,0,33
1,6,783,EWR,SJC,-9,0,,,,,
1,6,786,SJC,EWR,50,0,0,0,66,0,0
1,6,790,SEA,EWR,-2,0,,,,,
1,6,791,EWR,SEA,-4,0,,,,,
1,6,1156,LAX,EWR,-11,0,,,,,
1,6,1161,EWR,LAX,-1,0,0,0,25,0,0
1,6,1165,EWR,LAX,-11,0,,,,,
