OP_UNIQUE_CARRIER,AIRLINE
1,Allegiant Air
2,Envoy Air
3,SkyWest
4,Endeavor Air
5,Frontier Flight
6,Alaska Airlines
7,Delta Air
8,SouthWest
9,American 
10,Spirit Airlines
11,JetBlue
12,ExpressJet
13,Republic Airways
14,United Airlines
